veh_type,dist_km_min,dist_km_max,Nat_weight,Pref_weight,Muni_weight,Other_weight
car,0.0,0.3,0.8,1.0,1.1,1.0
car,0.3,0.5,0.9,1.0,1.05,0.95
car,0.5,1.0,1.0,1.05,0.95,0.9
car,1.0,3.0,1.1,1.1,0.8,0.7
car,3.0,7.0,1.2,1.15,0.6,0.5
car,7.0,15.0,1.3,1.2,0.5,0.4
car,15.0,999.0,1.35,1.25,0.45,0.35
truck,0.0,0.3,1.0,1.0,0.3,0.25
truck,0.3,0.5,1.1,1.05,0.25,0.2
truck,0.5,1.0,1.2,1.1,0.2,0.15
truck,1.0,3.0,1.3,1.2,0.15,0.1
truck,3.0,7.0,1.35,1.25,0.12,0.08
truck,7.0,15.0,1.4,1.3,0.1,0.06
truck,15.0,999.0,1.45,1.35,0.08,0.05
